enum||input||answer||estimate||correct
0||What's the weather for this TIME1?||[SEARCHFROM:WEATHERWHERE:HEREWHEN:TOMORROW]||[SEARCHFROM:WEATHERWHERE:HEREWHEN:TOMORROW]||O
1||What's the weather forecast for this TIME1?||[SEARCHFROM:WEATHERFORECASTWHERE:HEREWHEN:TOMORROW]||[SEARCHFROM:WEATHERFORECASTWHERE:HEREWHEN:TOMORROW]||O
2||What's the weather for this TIME1?||[SEARCHFROM:WEATHERWHERE:HEREWHEN:THEDAYAFTERTOMORROW]||[SEARCHFROM:WEATHERWHERE:HEREWHEN:THEDAYAFTERTOMORROW]||O
3||What's the weather forecast for this TIME1?||[SEARCHFROM:WEATHERFORECASTWHERE:HEREWHEN:THEDAYAFTERTOMORROW]||[SEARCHFROM:WEATHERFORECASTWHERE:HEREWHEN:THEDAYAFTERTOMORROW]||O
4||What's the weather for this TIME1?||[SEARCHFROM:WEATHERWHERE:HEREWHEN:NEXTWEEK]||[SEARCHFROM:WEATHERWHERE:HEREWHEN:NEXTWEEK]||O
5||What's the weather forecast for this TIME1?||[SEARCHFROM:WEATHERFORECASTWHERE:HEREWHEN:NEXTWEEK]||[SEARCHFROM:WEATHERFORECASTWHERE:HEREWHEN:NEXTWEEK]||O
6||What's the weather for this TIME1?||[SEARCHFROM:WEATHERWHERE:HEREWHEN:AFTERNOON]||[SEARCHFROM:WEATHERWHERE:HEREWHEN:AFTERNOON]||O
7||What's the weather forecast for this TIME1?||[SEARCHFROM:WEATHERFORECASTWHERE:HEREWHEN:AFTERNOON]||[SEARCHFROM:WEATHERFORECASTWHERE:HEREWHEN:AFTERNOON]||O
8||What's the weather for this TIME1?||[SEARCHFROM:WEATHERWHERE:HEREWHEN:MORNING]||[SEARCHFROM:WEATHERWHERE:HEREWHEN:MORNING]||O
9||What's the weather forecast for this TIME1?||[SEARCHFROM:WEATHERFORECASTWHERE:HEREWHEN:MORNING]||[SEARCHFROM:WEATHERFORECASTWHERE:HEREWHEN:MORNING]||O
10||What's the weather for this TIME1?||[SEARCHFROM:WEATHERWHERE:HEREWHEN:EVENING]||[SEARCHFROM:WEATHERWHERE:HEREWHEN:EVENING]||O
11||What's the weather forecast for this TIME1?||[SEARCHFROM:WEATHERFORECASTWHERE:HEREWHEN:EVENING]||[SEARCHFROM:WEATHERFORECASTWHERE:HEREWHEN:EVENING]||O
12||What's the weather for this TIME1?||[SEARCHFROM:WEATHERWHERE:HEREWHEN:DAWN]||[SEARCHFROM:WEATHERWHERE:HEREWHEN:DAWN]||O
13||What's the weather forecast for this TIME1?||[SEARCHFROM:WEATHERFORECASTWHERE:HEREWHEN:DAWN]||[SEARCHFROM:WEATHERFORECASTWHERE:HEREWHEN:DAWN]||O
14||What's the weather for this TIME1?||[SEARCHFROM:WEATHERWHERE:HEREWHEN:MIDNIGHT]||[SEARCHFROM:WEATHERWHERE:HEREWHEN:MIDNIGHT]||O
15||What's the weather forecast for this TIME1?||[SEARCHFROM:WEATHERFORECASTWHERE:HEREWHEN:MIDNIGHT]||[SEARCHFROM:WEATHERFORECASTWHERE:HEREWHEN:MIDNIGHT]||O
16||What's the weather for this TIME1?||[SEARCHFROM:WEATHERWHERE:HEREWHEN:NOON]||[SEARCHFROM:WEATHERWHERE:HEREWHEN:NOON]||O
17||What's the weather forecast for this TIME1?||[SEARCHFROM:WEATHERFORECASTWHERE:HEREWHEN:NOON]||[SEARCHFROM:WEATHERFORECASTWHERE:HEREWHEN:NOON]||O
18||What's the route like on my route?||[SEARCHFROM:ROUTEWHERE:ROUTE]||[SEARCHFROM:ROUTEWHERE:ROUTE]||O
19||What's the traffic camera like on my traffic camera?||[SEARCHFROM:TRAFFICCAMERAWHERE:TRAFFICCAMERA]||[SEARCHFROM:TRAFFICCAMERAWHERE:TRAFFICCAMERA]||O
20||What's the traffic like on my traffic?||[SEARCHFROM:TRAFFICWHERE:TRAFFIC]||[SEARCHFROM:TRAFFICWHERE:TRAFFIC]||O
21||What's the speed camera like on my speed camera?||[SEARCHFROM:SPEEDCAMERAWHERE:SPEEDCAMERA]||[SEARCHFROM:SPEEDCAMERAWHERE:SPEEDCAMERA]||O
22||Can you find me a burger king with burger king nearby?||[SEARCHFROM:BURGERKINGWHERE:NEARBYWITH:BURGERKING]||[SEARCHFROM:SCHOOLWHERE:NEARBYWITH:BURGERKING]||X
23||Can you find me a burgerking with burgerking nearby?||[SEARCHFROM:BURGERKINGWHERE:NEARBYWITH:BURGERKING]||[SEARCHFROM:SCHOOLWHERE:NEARBYWITH:BURGERKING]||X
24||Can you find me a restroom with restroom nearby?||[SEARCHFROM:RESTROOMWHERE:NEARBYWITH:RESTROOM]||[SEARCHFROM:SCHOOLWHERE:NEARBYWITH:SOMETHING1]||X
25||Can you find me a restroom facility with restroom facility nearby?||[SEARCHFROM:RESTROOMFACILITYWHERE:NEARBYWITH:RESTROOMFACILITY]||[SEARCHFROM:SCHOOLWHERE:NEARBYWITH:SOMETHING1]||X
26||Can you find me a super market with super market nearby?||[SEARCHFROM:SUPERMARKETWHERE:NEARBYWITH:SUPERMARKET]||[SEARCHFROM:SCHOOLWHERE:NEARBYWITH:MARKET]||X
27||Can you find me a supermarket with supermarket nearby?||[SEARCHFROM:SUPERMARKETWHERE:NEARBYWITH:SUPERMARKET]||[SEARCHFROM:SCHOOLWHERE:NEARBYWITH:SOMETHING1]||X
28||Can you find me a school with school nearby?||[SEARCHFROM:SCHOOLWHERE:NEARBYWITH:SCHOOL]||[SEARCHFROM:SCHOOLWHERE:NEARBYWITH:SOMETHING1]||X
29||Can you find me a starbucks with starbucks nearby?||[SEARCHFROM:STARBUCKSWHERE:NEARBYWITH:STARBUCKS]||[SEARCHFROM:SCHOOLWHERE:NEARBYWITH:SOMETHING1]||X
30||Can you find me a coffee shop with coffee shop nearby?||[SEARCHFROM:COFFEESHOPWHERE:NEARBYWITH:COFFEESHOP]||[SEARCHFROM:SCHOOLWHERE:NEARBYWITH:SOMETHING1]||X
31||Can you find me a cafe with cafe nearby?||[SEARCHFROM:CAFEWHERE:NEARBYWITH:CAFE]||[SEARCHFROM:SCHOOLWHERE:NEARBYWITH:SOMETHING1]||X
